Latitude,Longitude,B02_Blue,B03_Green,B04_Red,B08_NIR,NDVI,NDVI_Class,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m
21.217309,79.049908,0.213992,0.235462,0.257545,0.333664,0.131272,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.21732,79.050871,0.203321,0.223843,0.241272,0.347829,0.181866,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217331,79.051834,0.212273,0.239834,0.260808,0.347459,0.149519,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217342,79.052797,0.218,0.241964,0.262349,0.338575,0.128962,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217353,79.05376,0.227596,0.252364,0.273718,0.357182,0.133825,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217364,79.054723,0.183054,0.210828,0.219972,0.364258,0.249281,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217375,79.055686,0.209121,0.236958,0.259992,0.346991,0.145894,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217386,79.056649,0.147635,0.177951,0.169681,0.38982,0.392439,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217397,79.057612,0.146229,0.182174,0.165879,0.382753,0.393794,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217409,79.058575,0.167876,0.201389,0.207802,0.383195,0.303415,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.21742,79.059538,0.20259,0.241186,0.273118,0.362621,0.14833,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217431,79.060501,0.165375,0.198574,0.211799,0.354623,0.256752,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217442,79.061464,0.171517,0.199721,0.213212,0.328904,0.212142,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217453,79.062427,0.207758,0.227289,0.245704,0.316979,0.1282,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217464,79.06339,0.229615,0.242228,0.262343,0.302554,0.072434,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
