Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.248609457643038,78.94776478057518,0.0737,0.1525,21,100,0.21,21.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248621181339473,78.94872796162753,0.1132,0.1021,69,100,0.69,69.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24863289954077,78.94969114333894,0.1232,0.0923,79,100,0.79,79.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.2486446122469,78.9506543257091,0.1135,0.096,74,100,0.74,74.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248656319457854,78.9516175087377,0.1048,0.072,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24866802117362,78.95258069242443,0.1081,0.0691,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248679717394186,78.95354387676899,0.1151,0.0704,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24869140811952,78.95450706177108,0.1104,0.0826,86,100,0.86,86.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24870309334962,78.95547024743036,0.105,0.089,84,100,0.84,84.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24871477308447,78.95643343374654,-0.0009,0.2445,7,100,0.07,7.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24872644732404,78.95739662071932,-0.038,0.3829,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248738116068335,78.95835980834839,0.0333,0.2419,26,100,0.26,26.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248749779317325,78.95932299663343,0.1029,0.0958,74,100,0.74,74.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248761437071,78.96028618557412,0.0754,0.1267,36,100,0.36,36.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248773089329347,78.96124937517018,0.0419,0.1692,6,100,0.06,6.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24878473609235,78.96221256542128,0.0281,0.1769,2,100,0.02,2.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24879637735998,78.96317575632712,0.0991,0.0854,69,100,0.69,69.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248808013132237,78.96413894788738,0.0685,0.1269,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248819643409103,78.96510214010178,0.1063,0.0775,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24883126819055,78.96606533296998,0.0901,0.0993,63,100,0.63,63.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248842887476577,78.96702852649167,0.1073,0.0799,87,100,0.87,87.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248854501267164,78.96799172066657,0.0988,0.0727,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248866109562297,78.96895491549435,0.1028,0.081,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248877712361956,78.96991811097472,0.0614,0.1723,22,100,0.22,22.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248889309666126,78.97088130710735,0.0389,0.1892,28,100,0.28,28.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248900901474798,78.97184450389193,0.0142,0.2035,30,100,0.3,30.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248912487787955,78.97280770132818,0.0588,0.1451,20,100,0.2,20.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248924068605568,78.97377089941574,-0.022,0.3098,9,100,0.09,9.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24893564392764,78.97473409815436,-0.0053,0.2949,2,100,0.02,2.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248947213754143,78.97569729754369,-0.0166,0.2908,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24895877808507,78.97666049758345,0.0411,0.1858,4,100,0.04,4.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248970336920397,78.9776236982733,0.0374,0.1883,44,100,0.44,44.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.24898189026011,78.97858689961296,0.0751,0.1215,41,100,0.41,41.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248993438104208,78.9795501016021,0.0269,0.2323,9,100,0.09,9.0,Low Built-up,2026-06-19,1.0,Sentinel-2
