Latitude,Longitude,NDVI_Mean,Green_Cover_Percent,Green_Cover_Area_m2,Green_Cover_Area_ha,Green_Cover_Class,B04_Red_Mean,B08_NIR_Mean,NDVI_Threshold,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m,Data_Source
21.250281,79.011902,0.09794,1.0,100.0,0.01,Low Green Cover,0.306275,0.369346,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250293,79.012865,0.063269,0.0,0.0,0.0,No Green Cover,0.333278,0.377833,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250304,79.013828,0.077487,0.0,0.0,0.0,No Green Cover,0.309184,0.360389,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250315,79.014792,0.168689,9.0,900.0,0.09,Low Green Cover,0.235674,0.326757,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250327,79.015755,0.253029,27.0,2700.0,0.27,Moderate Green Cover,0.190277,0.318988,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250338,79.016718,0.203174,30.0,3000.0,0.3,Moderate Green Cover,0.220723,0.329791,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250349,79.017681,0.120034,16.0,1600.0,0.16,Low Green Cover,0.182383,0.241863,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250361,79.018645,0.151572,22.0,2200.0,0.22,Low Green Cover,0.14053,0.210114,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250372,79.019608,0.160327,6.0,600.0,0.06,Low Green Cover,0.196966,0.27892,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250383,79.020571,0.235838,25.0,2500.0,0.25,Moderate Green Cover,0.222916,0.359009,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250395,79.021534,0.12282,3.0,300.0,0.03,Low Green Cover,0.269802,0.344049,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250406,79.022498,0.116199,0.0,0.0,0.0,No Green Cover,0.272441,0.343969,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250417,79.023461,0.124608,0.0,0.0,0.0,No Green Cover,0.267039,0.341963,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250428,79.024424,0.174446,14.0,1400.0,0.14,Low Green Cover,0.250217,0.352677,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25044,79.025387,0.220451,23.0,2300.0,0.23,Low Green Cover,0.238217,0.369629,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250451,79.02635,0.282677,55.0,5500.0,0.55,High Green Cover,0.192573,0.341084,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250462,79.027314,0.347611,80.0,8000.0,0.8,Very High Green Cover,0.173137,0.358892,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250474,79.028277,0.170112,18.0,1800.0,0.18,Low Green Cover,0.228877,0.324278,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250485,79.02924,0.180064,5.0,500.0,0.05,Low Green Cover,0.228968,0.327452,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250496,79.030203,0.102558,0.0,0.0,0.0,No Green Cover,0.252336,0.309928,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250507,79.031167,0.152158,3.0,300.0,0.03,Low Green Cover,0.237646,0.323198,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250519,79.03213,0.121742,7.0,700.0,0.07,Low Green Cover,0.206169,0.26383,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25053,79.033093,0.036164,0.0,0.0,0.0,No Green Cover,0.34763,0.373675,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250541,79.034056,0.042866,0.0,0.0,0.0,No Green Cover,0.32009,0.347864,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250552,79.03502,0.088012,0.0,0.0,0.0,No Green Cover,0.278342,0.329713,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250564,79.035983,0.102685,0.0,0.0,0.0,No Green Cover,0.273546,0.333863,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250575,79.036946,0.117274,2.0,200.0,0.02,Low Green Cover,0.259453,0.328592,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250586,79.037909,0.086073,0.0,0.0,0.0,No Green Cover,0.230218,0.277849,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250597,79.038873,0.11252,4.0,400.0,0.04,Low Green Cover,0.214735,0.272743,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250608,79.039836,0.123371,0.0,0.0,0.0,No Green Cover,0.245549,0.313495,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25062,79.040799,0.113418,0.0,0.0,0.0,No Green Cover,0.281121,0.351414,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250631,79.041762,0.124421,0.0,0.0,0.0,No Green Cover,0.287581,0.36925,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250642,79.042726,0.097695,0.0,0.0,0.0,No Green Cover,0.295872,0.359481,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250653,79.043689,0.095042,0.0,0.0,0.0,No Green Cover,0.286687,0.346426,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250664,79.044652,0.104842,0.0,0.0,0.0,No Green Cover,0.228494,0.291958,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250676,79.045615,-0.037331,2.0,200.0,0.02,Low Green Cover,0.163308,0.1628,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250687,79.046579,-0.046976,0.0,0.0,0.0,No Green Cover,0.14086,0.133762,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250698,79.047542,0.173104,9.0,900.0,0.09,Low Green Cover,0.223602,0.325743,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250709,79.048505,0.17074,6.0,600.0,0.06,Low Green Cover,0.25356,0.356092,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25072,79.049468,0.209008,21.0,2100.0,0.21,Low Green Cover,0.232087,0.352124,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250731,79.050432,0.099115,0.0,0.0,0.0,No Green Cover,0.288882,0.351101,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250742,79.051395,0.116706,2.0,200.0,0.02,Low Green Cover,0.28619,0.361554,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250754,79.052358,0.12746,1.0,100.0,0.01,Low Green Cover,0.277862,0.358801,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250765,79.053321,0.156425,6.0,600.0,0.06,Low Green Cover,0.273476,0.373433,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250776,79.054285,0.148566,5.0,500.0,0.05,Low Green Cover,0.269863,0.362896,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
