Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.249155,78.993035,0.0062,0.2788,5,100,0.05,5.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249166,78.993998,0.0764,0.1739,54,100,0.54,54.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249177,78.994961,0.0729,0.1373,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249189,78.995925,0.0567,0.1607,32,100,0.32,32.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.2492,78.996888,0.0985,0.1219,67,100,0.67,67.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249212,78.997851,0.0846,0.1455,47,100,0.47,47.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249223,78.998814,0.1092,0.0754,91,100,0.91,91.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249235,78.999777,0.1177,0.0694,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249246,79.000741,0.1035,0.0764,83,100,0.83,83.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249258,79.001704,0.1052,0.0878,75,100,0.75,75.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249269,79.002667,0.1112,0.0761,88,100,0.88,88.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24928,79.00363,0.1124,0.0713,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249292,79.004594,0.1054,0.0887,80,100,0.8,80.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249303,79.005557,0.0891,0.1167,56,100,0.56,56.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249315,79.00652,0.1112,0.0841,82,100,0.82,82.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249326,79.007483,0.1056,0.0914,73,100,0.73,73.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249337,79.008446,0.101,0.1105,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249349,79.00941,0.1162,0.0935,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24936,79.010373,0.1148,0.114,49,100,0.49,49.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249371,79.011336,0.1061,0.1141,50,100,0.5,50.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249383,79.012299,0.1136,0.0692,95,100,0.95,95.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249394,79.013263,0.1104,0.0735,89,100,0.89,89.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249406,79.014226,0.1134,0.068,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249417,79.015189,0.114,0.0664,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249428,79.016152,0.1096,0.0696,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24944,79.017115,0.1148,0.0746,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249451,79.018079,0.0892,0.1273,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
