osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
505242451,secondary,True,False,86.364802,North Ambazari Road,,,,"LINESTRING (79.063502 21.136557, 79.063602 21.13657, 79.064326 21.136669)",,,,,,21.136613,79.063914,Central
27210656,residential,False,True,74.310096,,,,,"LINESTRING (79.06145 21.13618, 79.06144 21.136212, 79.061252 21.136822)",,,,,,21.136501,79.061351,Central
505242451,secondary,True,False,134.428557,North Ambazari Road,,,,"LINESTRING (79.06145 21.13618, 79.062011 21.136286, 79.06272 21.13642)",,,,,,21.1363,79.062085,Central
505242451,secondary,True,False,33.704507,North Ambazari Road,,,,"LINESTRING (79.073276 21.13939, 79.073583 21.139488)",,,,,,21.139439,79.073429,Central
1354632787,tertiary,True,False,12.489699,Maharajbagh road,,,,"LINESTRING (79.073276 21.13939, 79.073252 21.13928)",,,,,,21.139335,79.073264,Central
308766305,secondary,True,False,10.417544,,,,,"LINESTRING (79.069012 21.137926, 79.06905 21.137839)",,,,,,21.137882,79.069031,Central
505242451,secondary,True,False,458.255914,North Ambazari Road,,,,"LINESTRING (79.069012 21.137926, 79.069692 21.138174, 79.070435 21.138445, 79.071336 21.138774, 79.071424 21.138806, 79.073106 21.139333, 79.073158 21.139348)",,,,,,21.13866,79.071076,Central
27210664,residential,False,True,153.509698,,,,,"LINESTRING (79.06272 21.13642, 79.062534 21.13779)",,,,,,21.137105,79.062628,Central
505242451,secondary,True,False,82.412698,North Ambazari Road,,,,"LINESTRING (79.06272 21.13642, 79.062818 21.136437, 79.063502 21.136557)",,,,,,21.136489,79.063111,Central
27210768,residential,False,True,106.007602,,,,,"LINESTRING (79.057994 21.134792, 79.057392 21.135562)",,,,,,21.135177,79.057693,Central
505242771,residential,False,False,13.71294,,,,,"LINESTRING (79.057994 21.134792, 79.058087 21.134704)",,,,,,21.134748,79.05804,Central
27239006,secondary,True,False,256.087811,North Ambazari Road,,,,"LINESTRING (79.057994 21.134792, 79.059448 21.135471, 79.059553 21.135524, 79.060194 21.135838)",,,,,,21.13531,79.059097,Central
27115897,tertiary,False,False,15.3362,,,,,"LINESTRING (79.055578 21.133423, 79.055634 21.133296)",,,,,,21.133359,79.055606,Central
