osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
314126661,residential,False,True,13.232350285845689,,,,,"LINESTRING (79.076521 21.163425, 79.0765 21.163307)",,,,,,21.16336605000022,79.07651064999673,Central
314125384,tertiary,False,False,74.20191976033496,,,,,"LINESTRING (79.076521 21.163425, 79.076433 21.163512, 79.076433 21.163635, 79.076473 21.164058)",,,,,,21.163727902765977,79.07645367747989,Central
225372066,tertiary,False,False,50.1212397594884,,,,,"LINESTRING (79.073707 21.164372, 79.073841 21.164233, 79.073887 21.164144, 79.073894 21.164034, 79.073886 21.16398)",,,,,,21.164189254276362,79.0738361512137,Central
225372066,tertiary,False,True,68.5195690235584,,,,,"LINESTRING (79.073707 21.164372, 79.07357 21.164494, 79.07318 21.164742)",,,,,,21.16456462530004,79.07345053824046,Central
314125384,tertiary,False,True,269.6726772154447,,,,,"LINESTRING (79.073707 21.164372, 79.074912 21.164545, 79.075451 21.164573, 79.075612 21.164573, 79.07584 21.164538, 79.076253 21.164374)",,,,,,21.16449454934972,79.07499182283584,Central
314125404,residential,False,False,131.2231345611388,,,,,"LINESTRING (79.05005 21.164074, 79.051179 21.163541)",,,,,,21.163807451024983,79.0506147509497,West
314126659,residential,False,False,31.94402318747407,,,,,"LINESTRING (79.074461 21.173847, 79.074425 21.173562)",,,,,,21.173704650000776,79.07444264998854,Central
314126660,residential,False,False,10.841030944320718,,,,,"LINESTRING (79.074461 21.173847, 79.074563 21.173868)",,,,,,21.173857800007433,79.07451174999575,Central
314126660,residential,False,True,70.1123054235812,,,,,"LINESTRING (79.074461 21.173847, 79.074086 21.173798, 79.073794 21.173742)",,,,,,21.173799310189047,79.07412666361815,Central
314126662,residential,False,False,27.200011794747265,,,,,"LINESTRING (79.074107 21.173138, 79.074369 21.173124)",,,,,,21.173130550051212,79.07423835000174,Central
314126662,residential,False,True,48.067769677628675,,,,,"LINESTRING (79.074107 21.173138, 79.074003 21.172716)",,,,,,21.172926900004885,79.07405524993835,Central
314126664,residential,False,False,105.00004930451624,,,,,"LINESTRING (79.074107 21.173138, 79.073228 21.173258, 79.073104 21.173253)",,,,,,21.173204555749813,79.07360632701833,Central
314126662,residential,False,False,127.96466452286961,,,,,"LINESTRING (79.071846 21.172911, 79.073077 21.172828)",,,,,,21.172869851134166,79.07246115007526,Central
314126662,residential,False,True,51.37468235213447,,,,,"LINESTRING (79.071846 21.172911, 79.071906 21.17337)",,,,,,21.173140700002065,79.0718757999687,Central
371865617,residential,False,False,44.84427665396335,,,,,"LINESTRING (79.071846 21.172911, 79.071787 21.172512)",,,,,,21.172711600001747,79.07181649997219,Central
314126662,residential,False,False,48.067769677628675,,,,,"LINESTRING (79.074003 21.172716, 79.074107 21.173138)",,,,,,21.172926900004885,79.07405524993835,Central
314126662,residential,False,True,96.87165523726925,,,,,"LINESTRING (79.074003 21.172716, 79.073077 21.172828)",,,,,,21.17277230064856,79.07353985012035,Central
371865695,residential,False,False,43.28926005176602,,,,,"LINESTRING (79.074003 21.172716, 79.073906 21.172338)",,,,,,21.172526950004222,79.0739546999482,Central
371865695,residential,False,True,133.7294520723147,,,,,"LINESTRING (79.074003 21.172716, 79.074789 21.172629, 79.074798 21.172321, 79.074796 21.172164)",,,,,,21.17256649662089,79.07454955100089,Central
314126659,residential,False,True,49.08399570400084,,,,,"LINESTRING (79.074369 21.173124, 79.074425 21.173562)",,,,,,21.17334280000183,79.07439694997304,Central
314126662,residential,False,True,27.200011794747265,,,,,"LINESTRING (79.074369 21.173124, 79.074107 21.173138)",,,,,,21.173130550051212,79.07423835000174,Central
314126662,residential,False,False,226.98151015201154,,,,,"LINESTRING (79.074369 21.173124, 79.075052 21.173087, 79.075256 21.173047, 79.076521 21.17278)",,,,,,21.172987841084414,79.07545039044894,Central
314126660,residential,False,False,58.76238580715591,,,,,"LINESTRING (79.07197 21.17381, 79.072535 21.17376)",,,,,,21.173785300239153,79.07225260002701,Central
314126662,residential,False,False,49.40426007492964,,,,,"LINESTRING (79.07197 21.17381, 79.071906 21.17337)",,,,,,21.173590100002134,79.07193819996606,Central
314126660,residential,False,True,149.48920694957604,,,,,"LINESTRING (79.07197 21.17381, 79.071557 21.17386, 79.071403 21.172915)",,,,,,21.173517616838332,79.07156211704911,Central
314126663,residential,False,True,88.70553683817064,,,,,"LINESTRING (79.079526 21.16293, 79.078671 21.162922)",,,,,,21.1629262505403,79.0790982999421,Central
503496416,primary,True,False,45.863985038885986,Koradi Road,NH47,,,"LINESTRING (79.079526 21.16293, 79.079534 21.163342)",,40,,,,21.163136300002,79.07952990000695,Central
314126661,residential,False,True,43.957522738372035,,,,,"LINESTRING (79.076167 21.163317, 79.07576 21.163426)",,,,,,21.163371700128703,79.07596350006462,Central
992482886,residential,False,False,40.01115055586233,,,,,"LINESTRING (79.076167 21.163317, 79.076065 21.16297)",,,,,,21.163143950004887,79.07611604994831,Central
314126661,residential,False,False,34.51837349407486,,,,,"LINESTRING (79.076167 21.163317, 79.076371 21.163307, 79.0765 21.163307)",,,,,,21.163310465404308,79.07633354609082,Central
992482886,residential,False,True,67.42151988946209,,,,,"LINESTRING (79.076167 21.163317, 79.0762 21.163798, 79.076194 21.163923)",,,,,,21.163619991347456,79.07618617493465,Central
225644647,tertiary,False,True,81.2390444087729,,,,,"LINESTRING (79.076397 21.174077, 79.076297 21.174802)",,,,,,21.17443940002405,79.07634680015973,Central
225644647,tertiary,False,False,50.84136588059195,,,,,"LINESTRING (79.076397 21.174077, 79.076444 21.17379, 79.076465 21.173624)",,,,,,21.173851009447446,79.0764330757713,Central
314126660,residential,False,True,191.60165880406134,,,,,"LINESTRING (79.076397 21.174077, 79.074762 21.173898, 79.074563 21.173868)",,,,,,21.17397606839859,79.07547935599516,Central
992482899,residential,False,False,31.667248887977735,,,,,"LINESTRING (79.076698 21.16309, 79.0765 21.163307)",,,,,,21.163198950035124,79.07659885007308,Central
314126663,residential,False,False,120.81629375800429,,,,,"LINESTRING (79.076698 21.16309, 79.076865 21.163092, 79.077278 21.163072, 79.077855 21.162986)",,,,,,21.163056986073617,79.07727810327839,Central
